firsturl,date,chjh,mzelst
NA,"August 18, 2015 at 01:42PM",0,0
https://t.co/r8dByyh3bf,"November 19, 2015 at 09:23PM",1,1
NA,"October 21, 2015 at 12:49PM",0,0
NA,"October 27, 2015 at 06:13AM",0,0
NA,"October 21, 2015 at 03:08PM",0,0
NA,"November 13, 2015 at 02:35PM",0,0
NA,"October 24, 2015 at 09:21AM",0,0
https://t.co/cT6TYGentL,"October 22, 2015 at 08:52AM",0,0
NA,"November 16, 2015 at 10:10AM",0,0
NA,"November 21, 2015 at 12:56PM",0,0
NA,"October 24, 2015 at 06:26PM",0,0
NA,"September 16, 2015 at 08:17AM",0,0
NA,"October 26, 2015 at 06:20AM",0,0
NA,"November 17, 2015 at 06:26PM",0,0
NA,"December 05, 2015 at 08:28PM",0,0
https://t.co/gfBLoV7AmE,"October 22, 2015 at 11:26PM",0,0
https://t.co/9gP7qvh9Km,"October 23, 2015 at 02:59PM",0,0
NA,"September 08, 2015 at 10:51PM",1,1
https://t.co/2b6dCGR3K2,"October 21, 2015 at 08:26PM",0,0
https://t.co/kdR3ItVrwd,"November 01, 2015 at 11:25AM",0,0
https://t.co/LlNwN4JwgR,"October 28, 2015 at 08:42PM",0,0
https://t.co/b9dcujFyv9,"October 23, 2015 at 08:38PM",1,0
NA,"November 27, 2015 at 09:55PM",1,1
https://t.co/nOD73c7UJd,"October 22, 2015 at 06:43PM",0,0
https://t.co/mRzA8Ggdtc,"October 21, 2015 at 08:44PM",0,0
https://t.co/nA3lQ8q3to,"December 09, 2015 at 08:38PM",1,0
https://t.co/7Gp0HBFrtD,"November 01, 2015 at 09:55PM",1,1
NA,"October 21, 2015 at 07:57PM",0,0
NA,"October 27, 2015 at 08:19PM",0,0
http://t.co/HPLvNK34ee,"August 21, 2015 at 08:29PM",1,0
https://t.co/7RqMThyjBt,"November 22, 2015 at 09:11AM",1,1
https://t.co/jRbC66NR7n,"October 26, 2015 at 06:02PM",0,1
https://t.co/YObdad5087,"November 03, 2015 at 06:35PM",1,1
https://t.co/Ya4LZDevpH,"November 24, 2015 at 08:21AM",1,1
https://t.co/hbvk9Wm4k6,"November 11, 2015 at 01:26PM",1,0
https://t.co/xjaUYoqgbH,"December 01, 2015 at 12:27AM",1,1
https://t.co/xeS7qGWd3Z,"December 12, 2015 at 02:24PM",0,1
http://t.co/6DiI892mVd,"September 27, 2015 at 06:58AM",1,0
NA,"September 24, 2015 at 12:11PM",1,1
NA,"October 27, 2015 at 03:38PM",1,1
NA,"November 03, 2015 at 09:19AM",1,1
NA,"September 10, 2015 at 01:57PM",1,1
NA,"September 27, 2015 at 08:30AM",1,1
https://t.co/0G4cOJ9HaQ,"November 14, 2015 at 05:21AM",1,1
https://t.co/3HPiSn8cmO,"November 13, 2015 at 10:01AM",1,1
https://t.co/bfcj8WJHj9,"November 23, 2015 at 07:43PM",1,1
https://t.co/BPM7RTPHBw,"November 13, 2015 at 09:00AM",1,1
https://t.co/cDfZCEWvGp,"November 14, 2015 at 06:40AM",1,1
https://t.co/ge1sr2GGRx,"November 11, 2015 at 10:57AM",1,1
https://t.co/IO6iCnLjLD,"December 02, 2015 at 02:02PM",1,1
https://t.co/jiPGBc70e8,"October 29, 2015 at 03:28PM",1,1
https://t.co/OEl6oFzQtM,"November 14, 2015 at 06:40AM",1,1
https://t.co/oqup3Wq5YE,"November 16, 2015 at 10:58AM",1,1
https://t.co/pm56IHDnrX,"November 19, 2015 at 09:31AM",1,1
https://t.co/RfWKyZSMZu,"November 10, 2015 at 12:18PM",1,1
https://t.co/rTQlGqMRGA,"November 05, 2015 at 09:56PM",1,1
https://t.co/rTQlGqMRGA,"November 06, 2015 at 12:33PM",1,1
https://t.co/Sc3REB3QBP,"November 09, 2015 at 08:30PM",1,1
https://t.co/zLO3F5rW0d,"December 11, 2015 at 08:25AM",1,1
NA,"October 22, 2015 at 11:15AM",1,1
NA,"October 03, 2015 at 01:19PM",1,1
http://t.co/0evagyZAHK,"October 16, 2015 at 03:06PM",1,1
https://t.co/Dr0yjGGVa2,"December 07, 2015 at 09:16AM",1,1
https://t.co/t0bATfzhyR,"December 01, 2015 at 02:38PM",1,1
NA,"September 26, 2015 at 09:28AM",1,1
https://t.co/bXUwmVYLFx,"December 12, 2015 at 03:53PM",1,1
http://t.co/fKyJ8WTiTf,"September 26, 2015 at 09:11AM",1,1
http://t.co/KeLfVKqkUq,"September 29, 2015 at 11:39AM",0,1
https://t.co/3KMf9b1oSa,"October 29, 2015 at 04:21PM",1,1
https://t.co/4FGYy3uWUH,"November 09, 2015 at 05:32AM",1,1
NA,"November 03, 2015 at 01:58PM",1,1
NA,"November 02, 2015 at 09:07PM",0,1
https://t.co/RkwB2w7hi3,"November 11, 2015 at 02:54PM",1,1
NA,"October 26, 2015 at 08:53AM",1,1
https://t.co/c26oRwRH3y,"November 17, 2015 at 10:52PM",1,1
https://t.co/zpVsu2h74D,"November 30, 2015 at 09:50AM",1,0
https://t.co/84zCQWgTOo,"December 10, 2015 at 08:58AM",1,1
https://t.co/ixRkRusPsQ,"November 05, 2015 at 02:00PM",1,1
http://t.co/Nspje4nZI6,"August 31, 2015 at 03:48PM",1,1
https://t.co/RfoLiNOaT8,"October 25, 2015 at 12:46PM",1,1
http://t.co/J7zbgUyS27,"August 22, 2015 at 07:42PM",1,1
NA,"September 16, 2015 at 08:09PM",1,1
NA,"September 27, 2015 at 08:57PM",1,1
NA,"September 16, 2015 at 11:54PM",1,1
NA,"September 24, 2015 at 10:42AM",1,1
NA,"October 29, 2015 at 05:27PM",1,1
NA,"December 02, 2015 at 06:33PM",1,1
NA,"November 04, 2015 at 02:17PM",1,1
NA,"December 02, 2015 at 06:39PM",1,1
